Date,NIFTY
2014-03-19,6524.049805
2014-03-20,6483.100098
2014-03-21,6493.200195
2014-03-24,6583.5
2014-03-25,6589.75
2014-03-26,6601.399902
2014-03-27,6641.75
2014-03-28,6695.899902
2014-03-31,6704.200195
2014-04-01,6721.049805
2014-04-02,6752.549805
2014-04-03,6736.100098
2014-04-04,6694.350098
2014-04-07,6695.049805
2014-04-09,6796.200195
2014-04-10,6796.399902
2014-04-11,6776.299805
2014-04-15,6733.100098
2014-04-16,6675.299805
2014-04-17,6779.399902
2014-04-21,6817.649902
2014-04-22,6815.350098
2014-04-23,6840.799805
2014-04-25,6782.75
2014-04-28,6761.25
2014-04-29,6715.25
2014-04-30,6696.399902
2014-05-02,6694.799805
2014-05-05,6699.350098
2014-05-06,6715.299805
2014-05-07,6652.549805
2014-05-08,6659.850098
2014-05-09,6858.799805
2014-05-12,7014.25
2014-05-13,7108.75
2014-05-14,7108.75
2014-05-15,7123.149902
2014-05-16,7203
2014-05-19,7263.549805
2014-05-20,7275.5
2014-05-21,7252.899902
2014-05-22,7276.399902
2014-05-23,7367.100098
2014-05-26,7359.049805
2014-05-27,7318
2014-05-28,7329.649902
2014-05-29,7235.649902
2014-05-30,7229.950195
2014-06-02,7362.5
2014-06-03,7415.850098
2014-06-04,7402.25
2014-06-05,7474.100098
2014-06-06,7583.399902
2014-06-09,7654.600098
2014-06-10,7656.399902
2014-06-11,7626.850098
2014-06-12,7649.899902
2014-06-13,7542.100098
2014-06-16,7533.549805
2014-06-17,7631.700195
2014-06-18,7558.200195
2014-06-19,7540.700195
2014-06-20,7511.450195
2014-06-23,7493.350098
2014-06-24,7580.200195
2014-06-25,7569.25
2014-06-26,7493.200195
2014-06-27,7508.799805
2014-06-30,7611.350098
2014-07-01,7634.700195
2014-07-02,7725.149902
2014-07-03,7714.799805
2014-07-04,7751.600098
2014-07-07,7787.149902
2014-07-08,7623.200195
2014-07-09,7585
2014-07-10,7567.75
2014-07-11,7459.600098
2014-07-14,7454.149902
2014-07-15,7526.649902
2014-07-16,7624.399902
2014-07-17,7640.450195
2014-07-18,7663.899902
2014-07-21,7684.200195
2014-07-22,7767.850098
2014-07-23,7795.75
2014-07-24,7830.600098
2014-07-25,7790.450195
2014-07-28,7748.700195
2014-07-30,7791.399902
2014-07-31,7721.299805
2014-08-01,7602.600098
2014-08-04,7683.649902
2014-08-05,7746.549805
2014-08-06,7672.049805
2014-08-07,7649.25
2014-08-08,7568.549805
2014-08-11,7625.950195
2014-08-12,7727.049805
2014-08-13,7739.549805
2014-08-14,7791.700195
2014-08-18,7874.25
2014-08-19,7897.5
2014-08-20,7875.299805
2014-08-21,7891.100098
2014-08-22,7913.200195
2014-08-25,7906.299805
2014-08-26,7904.75
2014-08-27,7936.049805
2014-08-28,7954.350098
2014-09-01,8027.700195
2014-09-02,8083.049805
2014-09-03,8114.600098
2014-09-04,8095.950195
2014-09-05,8086.850098
2014-09-08,8173.899902
2014-09-09,8152.950195
2014-09-10,8094.100098
2014-09-11,8085.700195
2014-09-12,8105.5
2014-09-15,8042
2014-09-16,7932.899902
2014-09-17,7975.5
2014-09-18,8114.75
2014-09-19,8121.450195
2014-09-22,8146.299805
2014-09-23,8017.549805
2014-09-24,8002.399902
2014-09-25,7911.850098
2014-09-26,7968.850098
2014-09-29,7958.899902
2014-09-30,7964.799805
2014-10-01,7945.549805
2014-10-07,7852.399902
2014-10-08,7842.700195
2014-10-09,7960.549805
2014-10-10,7859.950195
2014-10-13,7884.25
2014-10-14,7864
2014-10-16,7748.200195
2014-10-17,7779.700195
2014-10-20,7879.399902
2014-10-21,7927.75
2014-10-22,7995.899902
2014-10-27,7991.700195
2014-10-28,8027.600098
2014-10-29,8090.450195
2014-10-30,8169.200195
2014-10-31,8322.200195
2014-11-03,8324.150391
2014-11-05,8338.299805
2014-11-07,8337
2014-11-10,8344.25
2014-11-11,8362.650391
2014-11-12,8383.299805
2014-11-13,8357.849609
2014-11-14,8389.900391
2014-11-17,8430.75
2014-11-18,8425.900391
2014-11-19,8382.299805
2014-11-20,8401.900391
2014-11-21,8477.349609
2014-11-24,8530.150391
2014-11-25,8463.099609
2014-11-26,8475.75
2014-11-27,8494.200195
2014-11-28,8588.25
2014-12-01,8555.900391
2014-12-02,8524.700195
2014-12-03,8537.650391
2014-12-04,8564.400391
2014-12-05,8538.299805
2014-12-08,8438.25
2014-12-09,8340.700195
2014-12-10,8355.650391
2014-12-11,8292.900391
2014-12-12,8224.099609
2014-12-15,8219.599609
2014-12-16,8067.600098
2014-12-17,8029.799805
2014-12-18,8159.299805
2014-12-19,8225.200195
2014-12-22,8324
2014-12-23,8267
2014-12-24,8174.100098
2014-12-26,8200.700195
2014-12-29,8246.299805
2014-12-30,8248.25
2014-12-31,8282.700195
2015-01-02,8395.450195
2015-01-05,8378.400391
2015-01-06,8127.350098
2015-01-07,8102.100098
2015-01-08,8234.599609
2015-01-09,8284.5
2015-01-12,8323
2015-01-13,8299.400391
2015-01-14,8277.549805
2015-01-15,8494.150391
2015-01-16,8513.799805
2015-01-19,8550.700195
2015-01-20,8695.599609
2015-01-21,8729.5
2015-01-22,8761.400391
2015-01-23,8835.599609
2015-01-27,8910.5
2015-01-28,8914.299805
2015-01-29,8952.349609
2015-01-30,8808.900391
2015-02-02,8797.400391
2015-02-03,8756.549805
2015-02-04,8723.700195
2015-02-05,8711.700195
2015-02-06,8661.049805
2015-02-09,8526.349609
2015-02-10,8565.549805
2015-02-11,8627.400391
2015-02-12,8711.549805
2015-02-13,8805.5
2015-02-16,8809.349609
2015-02-18,8869.099609
2015-02-19,8895.299805
2015-02-20,8833.599609
2015-02-23,8754.950195
2015-02-24,8762.099609
2015-02-25,8767.25
2015-02-26,8683.849609
2015-02-27,8844.599609
2015-03-02,8956.75
2015-03-03,8996.25
2015-03-04,8922.650391
2015-03-05,8937.75
2015-03-09,8756.75
2015-03-10,8712.049805
2015-03-11,8699.950195
2015-03-12,8776
2015-03-13,8647.75
2015-03-16,8633.150391
2015-03-17,8723.299805
2015-03-18,8685.900391
2015-03-19,8634.650391
2015-03-20,8570.900391
2015-03-23,8550.900391
2015-03-24,8542.950195
2015-03-25,8530.799805
2015-03-26,8342.150391
2015-03-27,8341.400391
2015-03-30,8492.299805
2015-03-31,8491
2015-04-01,8586.25
2015-04-06,8659.900391
2015-04-07,8660.299805
2015-04-08,8714.400391
2015-04-09,8778.299805
2015-04-10,8780.349609
2015-04-13,8834
2015-04-16,8706.700195
2015-04-17,8606
2015-04-20,8448.099609
2015-04-21,8377.75
2015-04-22,8429.700195
2015-04-23,8398.299805
2015-04-24,8305.25
2015-04-27,8213.799805
2015-04-28,8285.599609
2015-04-29,8239.75
2015-04-30,8181.5
2015-05-04,8331.950195
2015-05-05,8324.799805
2015-05-06,8097
2015-05-07,8057.299805
2015-05-08,8191.5
2015-05-11,8325.25
2015-05-12,8126.950195
2015-05-13,8235.450195
2015-05-14,8224.200195
2015-05-15,8262.349609
2015-05-18,8373.650391
2015-05-19,8365.650391
2015-05-20,8423.25
2015-05-21,8421
2015-05-22,8458.950195
2015-05-25,8370.25
2015-05-26,8339.349609
2015-05-27,8334.599609
2015-05-28,8319
2015-05-29,8433.650391
2015-06-01,8433.400391
2015-06-02,8236.450195
2015-06-03,8135.100098
2015-06-04,8130.649902
2015-06-05,8114.700195
2015-06-08,8044.149902
2015-06-09,8022.399902
2015-06-10,8124.450195
2015-06-11,7965.350098
2015-06-12,7982.899902
2015-06-15,8013.899902
2015-06-16,8047.299805
2015-06-17,8091.549805
2015-06-18,8174.600098
2015-06-19,8224.950195
2015-06-22,8353.099609
2015-06-23,8381.549805
2015-06-24,8360.849609
2015-06-25,8398
2015-06-26,8381.099609
2015-06-29,8318.400391
2015-06-30,8368.5
2015-07-01,8453.049805
2015-07-02,8444.900391
2015-07-03,8484.900391
2015-07-06,8522.150391
2015-07-07,8510.799805
2015-07-08,8363.049805
2015-07-09,8328.549805
2015-07-10,8360.549805
2015-07-13,8459.650391
2015-07-14,8454.099609
2015-07-15,8523.799805
2015-07-16,8608.049805
2015-07-17,8609.849609
2015-07-20,8603.450195
2015-07-21,8529.450195
2015-07-22,8633.5
2015-07-23,8589.799805
2015-07-24,8521.549805
2015-07-27,8361
2015-07-28,8337
2015-07-29,8375.049805
2015-07-30,8421.799805
2015-07-31,8532.849609
2015-08-03,8543.049805
2015-08-04,8516.900391
2015-08-05,8567.950195
2015-08-06,8588.650391
2015-08-07,8564.599609
2015-08-10,8525.599609
2015-08-11,8462.349609
2015-08-12,8349.450195
2015-08-13,8355.849609
2015-08-14,8518.549805
2015-08-17,8477.299805
2015-08-18,8466.549805
2015-08-19,8495.150391
2015-08-20,8372.75
2015-08-21,8299.950195
2015-08-24,7809
2015-08-25,7880.700195
2015-08-26,7791.850098
2015-08-27,7948.950195
2015-08-28,8001.950195
2015-08-31,7971.299805
2015-09-01,7785.850098
2015-09-02,7717
2015-09-03,7823
2015-09-04,7655.049805
2015-09-07,7558.799805
2015-09-08,7688.25
2015-09-09,7818.600098
2015-09-10,7788.100098
2015-09-11,7789.299805
2015-09-14,7872.25
2015-09-15,7829.100098
2015-09-16,7899.149902
2015-09-18,7981.899902
2015-09-21,7977.100098
2015-09-22,7812
2015-09-23,7845.950195
2015-09-24,7868.5
2015-09-28,7795.700195
2015-09-29,7843.299805
2015-09-30,7948.899902
2015-10-01,7950.899902
2015-10-05,8119.299805
2015-10-06,8152.899902
2015-10-07,8177.399902
2015-10-08,8129.350098
2015-10-09,8189.700195
2015-10-12,8143.600098
2015-10-13,8131.700195
2015-10-14,8107.899902
2015-10-15,8179.5
2015-10-16,8238.150391
2015-10-19,8275.049805
2015-10-20,8261.650391
2015-10-21,8251.700195
2015-10-23,8295.450195
2015-10-26,8260.549805
2015-10-27,8232.900391
2015-10-28,8171.200195
2015-10-29,8111.75
2015-10-30,8065.799805
2015-11-02,8050.799805
2015-11-03,8060.700195
2015-11-04,8040.200195
2015-11-05,7955.450195
2015-11-06,7954.299805
2015-11-09,7915.200195
2015-11-10,7783.350098
2015-11-13,7762.25
2015-11-16,7806.600098
2015-11-17,7837.549805
2015-11-18,7731.799805
2015-11-19,7842.75
2015-11-20,7856.549805
2015-11-23,7849.25
2015-11-24,7831.600098
2015-11-26,7883.799805
2015-11-27,7942.700195
2015-11-30,7935.25
2015-12-01,7954.899902
2015-12-02,7931.350098
2015-12-03,7864.149902
2015-12-04,7781.899902
2015-12-07,7765.399902
2015-12-08,7701.700195
2015-12-09,7612.5
2015-12-10,7683.299805
2015-12-11,7610.450195
2015-12-14,7650.049805
2015-12-15,7700.899902
2015-12-16,7750.899902
2015-12-17,7844.350098
