Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
2024-03-18,EQ,1447.0,1456.0,1435.8,1452.65,1445.75,1446.05,1447.44,1757.5,1363.55,10718928,15514993593.4,298423
2024-03-19,EQ,1435.5,1452.4,1435.5,1446.05,1449.95,1449.35,1445.73,1757.5,1363.55,18091797,26155872952.15,357501
2024-03-20,EQ,1449.05,1451.65,1424.65,1449.35,1432.0,1431.05,1435.82,1757.5,1363.55,21803047,31305142954.85,391871
2024-03-21,EQ,1442.6,1451.25,1438.3,1431.05,1445.4,1445.75,1445.43,1757.5,1363.55,14461430,20903015204.35,261033
2024-03-22,EQ,1441.0,1450.75,1437.75,1445.75,1442.55,1442.85,1443.79,1757.5,1363.55,22990163,33192980386.6,408312
2024-03-26,EQ,1427.2,1437.95,1422.15,1442.85,1424.9,1425.4,1430.24,1757.5,1363.55,28422145,40650467046.25,519149
2024-03-27,EQ,1423.55,1447.95,1421.25,1425.4,1443.65,1440.7,1436.27,1757.5,1363.55,31084334,44645417268.5,412302
2024-03-28,EQ,1440.7,1460.5,1440.7,1440.7,1447.0,1447.9,1451.6,1757.5,1363.55,27796071,40348658115.25,370836
2024-04-01,EQ,1458.0,1473.8,1455.6,1447.9,1470.0,1470.5,1466.67,1757.5,1363.55,12599785,18479761763.45,266085
2024-04-02,EQ,1465.15,1494.85,1463.25,1470.5,1479.55,1480.15,1483.23,1757.5,1363.55,20612723,30573359203.2,315849
2024-04-03,EQ,1472.1,1495.65,1471.4,1480.15,1484.5,1482.3,1485.06,1757.5,1363.55,22792193,33847785699.15,381267
2024-04-04,EQ,1504.0,1530.0,1504.0,1482.3,1529.0,1527.6,1520.65,1757.5,1363.55,44467533,67619706935.1,638189
2024-04-05,EQ,1539.0,1554.5,1530.15,1527.6,1550.05,1549.55,1545.34,1757.5,1363.55,29527951,45630707255.45,446260
2024-04-08,EQ,1554.95,1557.25,1541.55,1549.55,1545.0,1546.6,1546.8,1757.5,1363.55,10241470,15841481181.95,282686
2024-04-09,EQ,1554.85,1554.85,1540.3,1546.6,1544.4,1548.55,1547.47,1757.5,1363.55,10942247,16932784193.35,286447
2024-04-10,EQ,1549.9,1549.9,1532.95,1548.55,1534.95,1536.35,1539.41,1757.5,1363.55,13903700,21403551158.35,264951
2024-04-12,EQ,1521.0,1529.85,1513.45,1536.35,1516.25,1518.95,1520.13,1757.5,1363.55,20542104,31226729837.45,353957
2024-04-15,EQ,1497.55,1510.0,1492.05,1518.95,1493.0,1494.7,1501.19,1757.5,1363.55,11707624,17575373460.4,303733
2024-04-16,EQ,1487.0,1512.9,1482.25,1494.7,1512.0,1509.25,1499.45,1757.5,1363.55,10372443,15552984303.1,254321
