Date,ADANIPORTS,AMBUJACEM,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BPCL,BHARTIARTL,INDUSTOWER,BOSCHLTD,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,HCLTECH,HEROMOTOCO,HINDALCO,HINDPETRO,HINDUNILVR,ICICIBANK,ITC,IOC,INDUSINDBK,INFY,KOTAKBANK,LUPIN,LT,M&M,MARUTI,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SUNPHARMA,TCS,TATAMOTORS,TATASTEEL,TECHM,UPL,ULTRACEMCO,VEDL,WIPRO,YESBANK,ZEEL,^NSEI
2013-01-01,128.71070861816406,164.8865509033203,397.5312194824219,90.1224365234375,257.3435974121094,1571.680908203125,8.786224365234375,31.57375144958496,272.32305908203125,130.32093811035156,8378.4482421875,388.0780944824219,133.5170135498047,333.015625,249.53741455078125,43.98616027832031,115.49560546875,1326.379638671875,122.71723175048828,24.785995483398438,437.19110107421875,182.667236328125,133.7709503173828,22.77145004272461,393.4958801269531,210.68612670898438,322.40728759765625,575.8534545898438,596.2762451171875,424.48291015625,1363.2532958984375,77.99839782714844,100.31147003173828,39.70186233520508,186.0220947265625,209.03907775878906,339.7740783691406,496.09600830078125,305.2817077636719,13.938371658325195,179.40260314941406,85.86981201171875,1931.916748046875,63.4680290222168,71.13553619384766,87.24321746826172,205.83251953125,
2013-01-02,129.3178253173828,166.88839721679688,392.9385070800781,93.96585845947266,261.9042663574219,1623.54443359375,8.689682960510254,32.47319412231445,271.4352722167969,132.79226684570312,8456.7646484375,390.8670349121094,133.0533447265625,333.3693542480469,243.7579803466797,44.89073944091797,116.0710678100586,1331.97216796875,123.49478912353516,25.384695053100586,437.10858154296875,185.11911010742188,132.90939331054688,23.22832489013672,402.5604248046875,210.7180633544922,325.85479736328125,576.0408935546875,605.32177734375,423.04058837890625,1401.96142578125,79.00159454345703,102.91622161865234,39.44032287597656,187.6262969970703,211.11529541015625,340.4172668457031,495.7625427246094,306.4864807128906,13.936779975891113,180.56512451171875,85.41583251953125,1943.8074951171875,64.84222412109375,70.57096099853516,89.22766876220703,213.020751953125,5993.25
2013-01-03,129.17774963378906,168.68592834472656,395.1630554199219,94.19880676269531,262.48968505859375,1632.869873046875,8.923636436462402,32.45547866821289,277.31121826171875,134.6704559326172,8397.369140625,388.45001220703125,133.70242309570312,341.46002197265625,244.17620849609375,44.71844482421875,116.20103454589844,1319.80810546875,122.94591522216797,25.495885848999023,438.6330261230469,184.81166076660156,132.04788208007812,23.189895629882812,403.76898193359375,213.33697509765625,324.8627014160156,570.3732299804688,600.661376953125,422.0490417480469,1389.268798828125,79.02666473388672,104.8651351928711,39.80647659301758,190.4585723876953,212.92877197265625,337.1780090332031,502.5515441894531,306.5828857421875,14.068779945373535,180.88218688964844,88.72349548339844,1933.8746337890625,65.32160186767578,71.29682922363281,90.02328491210938,213.06683349609375,6009.5
2013-01-04,128.43051147460938,168.40000915527344,395.639404296875,93.94256591796875,260.41241455078125,1626.01416015625,8.927818298339844,33.14224624633789,276.46575927734375,136.51568603515625,8341.3662109375,386.8695373535156,134.94508361816406,342.73895263671875,240.9706268310547,45.67842102050781,117.7047119140625,1319.80810546875,121.25359344482422,26.838665008544922,440.5692443847656,186.44369506835938,131.51229858398438,24.009723663330078,400.46856689453125,214.4000244140625,322.5312805175781,566.2980346679688,597.413818359375,424.2350158691406,1391.2042236328125,79.70384216308594,106.73905181884766,40.08545684814453,190.70196533203125,214.22964477539062,337.7753601074219,509.85052490234375,303.9806213378906,13.788867950439453,181.10316467285156,88.1397933959961,1950.1585693359375,64.45874786376953,72.34532165527344,89.44715118408203,209.24232482910156,6016.14990234375
2013-01-07,130.8123321533203,166.56158447265625,394.9517822265625,93.9192886352539,259.2604064941406,1619.599853515625,8.914624214172363,34.161319732666016,276.29669189453125,136.68045043945312,8326.0595703125,394.49261474609375,133.60972595214844,342.42144775390625,242.7420196533203,45.0876579284668,116.56302642822266,1326.3446044921875,122.94591522216797,28.142972946166992,432.90643310546875,186.40426635742188,129.95223999023438,24.018264770507812,401.0263977050781,216.70411682128906,321.6632080078125,560.9583740234375,582.7903442382812,430.0491943359375,1426.4466552734375,79.0517578125,107.93834686279297,39.89365768432617,189.540283203125,212.5841522216797,341.9106140136719,508.1434326171875,301.9084777832031,14.024250030517578,178.13438415527344,89.01535034179688,1949.012451171875,64.76232147216797,72.57831573486328,91.12982940673828,205.7403564453125,5988.39990234375
2013-01-08,128.3838348388672,165.04994201660156,394.9293212890625,93.49996948242188,256.8904113769531,1620.74267578125,8.90657901763916,33.74039840698242,279.2558288574219,133.74781799316406,8281.5234375,399.2802734375,133.62823486328125,346.14935302734375,238.58462524414062,44.86613082885742,117.82540893554688,1315.0194091796875,121.6652603149414,27.64691162109375,432.9888610839844,185.99429321289062,133.04908752441406,24.02680206298828,403.25775146484375,213.8936004638672,323.7962341308594,560.162109375,574.992431640625,431.91961669921875,1417.6700439453125,78.97651672363281,108.72541046142578,40.6085319519043,188.22373962402344,214.8025360107422,346.64300537109375,510.26275634765625,302.77587890625,13.784101486206055,178.00950622558594,89.24234008789062,1928.4306640625,63.81958770751953,71.35955810546875,91.3858871459961,206.4315185546875,6001.7001953125
2013-01-09,126.2354965209961,160.96458435058594,392.23748779296875,91.54334259033203,254.87911987304688,1590.8486328125,8.825484275817871,34.17905044555664,282.1726379394531,135.1317901611328,8219.900390625,398.25762939453125,134.9080047607422,346.6482238769531,236.24122619628906,45.6107177734375,118.03888702392578,1291.6710205078125,120.79621887207031,28.728839874267578,427.88031005859375,186.13619995117188,130.16180419921875,24.45379066467285,404.0014343261719,212.70733642578125,321.9856262207031,554.8690795898438,568.6806640625,434.6915588378906,1412.94384765625,78.09873962402344,109.51245880126953,40.29468536376953,188.67733764648438,217.33963012695312,349.74444580078125,500.981689453125,315.49798583984375,13.432618141174316,180.5074920654297,88.20464324951172,1874.182861328125,62.908775329589844,71.16241455078125,92.21808624267578,205.83251953125,5971.5
2013-01-10,126.84262084960938,156.67494201660156,392.10711669921875,88.91120147705078,258.34454345703125,1576.28857421875,9.045598030090332,33.749263763427734,279.04443359375,135.1647186279297,8321.4189453125,395.5152587890625,135.6313018798828,346.49407958984375,239.5535430908203,45.223045349121094,119.10631561279297,1292.4044189453125,118.96665954589844,28.24560546875,425.65570068359375,185.9864044189453,130.86036682128906,24.436716079711914,410.18402099609375,211.9134979248047,324.3418273925781,548.0773315429688,567.5430297851562,433.2717590332031,1415.3743896484375,77.14570617675781,113.27906799316406,39.71929931640625,188.09095764160156,218.74391174316406,346.5511169433594,493.8392639160156,321.6180419921875,13.375361442565918,187.46336364746094,88.7883529663086,1813.822265625,61.77428436279297,70.90253448486328,94.27570343017578,208.09036254882812,5968.64990234375
2013-01-11,123.0130844116211,152.30352783203125,386.4223937988281,85.95292663574219,257.60797119140625,1561.50732421875,8.913982391357422,32.85424041748047,274.9439697265625,135.3953857421875,8211.7314453125,391.8431091308594,133.77662658691406,344.64373779296875,239.95474243164062,44.853816986083984,119.70964050292969,1285.9031982421875,116.22233581542969,27.882102966308594,410.4125061035156,183.4713592529297,127.321044921875,24.317157745361328,400.7474670410156,247.48330688476562,312.5111083984375,550.5598754882812,562.1669921875,422.7250671386719,1409.028076171875,76.59391784667969,109.56868743896484,39.457763671875,185.84507751464844,214.60435485839844,339.6591796875,512.6566162109375,318.43756103515625,13.273577690124512,190.10546875,86.8750991821289,1798.684326171875,62.12582778930664,75.26673126220703,91.15727233886719,214.08058166503906,5951.2998046875
2013-01-14,127.3096694946289,155.2858428955078,392.36328125,89.47020721435547,261.7626647949219,1543.2608642578125,8.970939636230469,33.06691360473633,277.9030456542969,136.94406127929688,8217.890625,387.00897216796875,133.22021484375,347.0382385253906,236.00218200683594,45.64763641357422,124.89823913574219,1288.5250244140625,117.32006072998047,28.219947814941406,416.3449401855469,186.87730407714844,129.4166717529297,24.603239059448242,409.207763671875,256.097412109375,311.7918395996094,542.5032348632812,570.5521240234375,421.41802978515625,1385.4881591796875,77.27111053466797,114.40341186523438,39.07416915893555,187.53778076171875,215.35389709472656,337.84423828125,523.7035522460938,315.8352966308594,13.480332374572754,192.53616333007812,89.59906005859375,1782.3048095703125,62.908775329589844,75.12335205078125,92.63874816894531,214.44921875,6024.0498046875
2013-01-15,127.87007904052734,161.78164672851562,387.649169921875,89.8429183959961,268.9766845703125,1559.4798583984375,9.049461364746094,34.134742736816406,291.8531799316406,135.26358032226562,8130.38330078125,389.33306884765625,131.69940185546875,345.0971984863281,236.84304809570312,45.81379318237305,123.28314971923828,1289.5035400390625,118.09762573242188,28.31830596923828,415.0267028808594,189.90480041503906,132.3040008544922,25.410259246826172,410.83477783203125,254.32260131835938,312.33746337890625,546.29736328125,572.46044921875,418.8489685058594,1391.6993408203125,78.07363891601562,115.26543426513672,38.72544479370117,187.44927978515625,214.5010223388672,335.50103759765625,524.8612670898438,319.5459289550781,13.512137413024902,192.1134490966797,88.46406555175781,1834.2608642578125,61.997989654541016,75.44596862792969,96.56194305419922,212.05313110351562,6056.60009765625
2013-01-16,126.65582275390625,161.45480346679688,384.521484375,87.79309844970703,266.1722717285156,1530.838623046875,8.919129371643066,33.868892669677734,289.9085388183594,134.70339965820312,8198.9248046875,386.7765197753906,130.79066467285156,350.0949401855469,236.830322265625,45.89378356933594,125.0838623046875,1282.512939453125,112.8833999633789,27.89921760559082,412.1015930175781,186.0416259765625,132.25743103027344,25.359018325805664,399.7713317871094,252.5340576171875,309.8323974609375,543.252685546875,566.662353515625,405.9585266113281,1344.169189453125,78.34954071044922,113.86000061035156,39.07416915893555,190.59130859375,209.5517120361328,330.5157775878906,528.9033813476562,308.4622802734375,13.198827743530273,191.7483673095703,87.2966537475586,1834.404052734375,60.911434173583984,75.26673126220703,94.75125122070312,205.23348999023438,6001.85009765625
2013-01-17,125.72177124023438,163.37493896484375,389.4557800292969,87.88626098632812,265.5962829589844,1513.3297119140625,8.896925926208496,35.10508346557617,298.87054443359375,135.0658721923828,8223.8701171875,378.7351989746094,130.77206420898438,351.655029296875,233.1124725341797,46.32454299926758,130.69020080566406,1271.3978271484375,111.64845275878906,29.413061141967773,412.43121337890625,183.30581665039062,132.86282348632812,26.977317810058594,396.6568298339844,255.31723022460938,311.4693603515625,549.482421875,560.6075439453125,406.0711669921875,1344.9791259765625,78.80097198486328,117.85142517089844,39.28339767456055,196.93072509765625,212.7779998779297,329.43597412109375,534.4954223632812,317.0400390625,13.318108558654785,195.68748474121094,89.89090728759766,1824.5191650390625,60.60783004760742,77.19342803955078,95.82121276855469,210.4864501953125,6039.2001953125
2013-01-18,123.52677154541016,162.35360717773438,387.4650573730469,89.70316314697266,262.13092041015625,1518.12158203125,8.82677173614502,38.54337692260742,294.9390869140625,135.0988006591797,8193.7041015625,380.9663391113281,131.60667419433594,343.0654296875,231.5417022705078,47.216819763183594,130.99647521972656,1233.228515625,112.2887954711914,30.995332717895508,404.0679626464844,185.46604919433594,133.8640594482422,29.82961654663086,390.4278869628906,254.41383361816406,312.3870544433594,551.168701171875,564.0936279296875,399.3329772949219,1393.004638671875,82.5127944946289,126.56523132324219,40.08545684814453,199.18768310546875,214.6905517578125,327.1617126464844,530.1788330078125,316.6545104980469,13.200416564941406,191.9501190185547,91.51232147216797,1823.51611328125,59.808895111083984,71.2161636352539,94.55921173095703,206.52369689941406,6064.39990234375
2013-01-21,126.79591369628906,163.00730895996094,385.3843994140625,90.98430633544922,261.639892578125,1517.2738037109375,8.954850196838379,39.07063293457031,300.60369873046875,135.1317901611328,8283.7548828125,375.5744323730469,130.41973876953125,348.8069763183594,229.90260314941406,47.75218200683594,133.146728515625,1238.7159423828125,112.2887954711914,31.88481903076172,409.71209716796875,185.67893981933594,135.77342224121094,29.428253173828125,384.05938720703125,255.1666259765625,312.9823913574219,557.0706787109375,575.1576538085938,397.5752258300781,1417.4449462890625,81.05816650390625,126.13420104980469,39.71929931640625,203.55776977539062,215.32803344726562,321.5562438964844,521.9375610351562,311.5464172363281,13.171791076660156,192.98773193359375,92.22574615478516,1844.671142578125,59.71302032470703,71.25202941894531,93.58982849121094,203.6668243408203,6082.2998046875
2013-01-22,126.51571655273438,162.02679443359375,396.63250732421875,88.11920928955078,263.1412658691406,1523.9456787109375,8.943265914916992,38.441463470458984,297.306396484375,135.1317901611328,8185.5380859375,376.7829895019531,129.99313354492188,346.9294128417969,230.2611083984375,45.53072738647461,129.87954711914062,1232.144775390625,109.54444885253906,31.09796142578125,396.2405090332031,184.5120849609375,134.65576171875,28.471782684326172,388.3360290527344,254.00320434570312,317.8436279296875,548.1709594726562,570.0384521484375,398.2738037109375,1413.3936767578125,82.43754577636719,126.4527816772461,39.57981872558594,203.57989501953125,212.31280517578125,326.5414733886719,517.0321655273438,307.0166015625,13.00002670288086,188.4625701904297,90.73404693603516,1865.2052001953125,59.13776779174805,71.46708679199219,93.07772064208984,204.95704650878906,6048.5
2013-01-23,124.83443450927734,161.00540161132812,399.2793884277344,87.69992065429688,264.08544921875,1498.9539794921875,8.744796752929688,37.62175750732422,310.5800476074219,134.835205078125,8124.85009765625,377.5267028808594,130.0116729736328,348.71624755859375,228.04151916503906,45.03843688964844,125.92347717285156,1246.2310791015625,107.80640411376953,30.48643684387207,379.06097412109375,186.2229461669922,136.33224487304688,27.835567474365234,394.79742431640625,254.5553436279297,319.9765930175781,548.1240234375,572.8640747070312,397.5076904296875,1416.6346435546875,81.55975341796875,124.878662109375,39.10904312133789,204.24371337890625,213.68687438964844,326.10491943359375,516.0291748046875,301.7156982421875,12.963446617126465,185.8108673095703,89.46934509277344,1866.828857421875,59.00993347167969,72.00477600097656,94.09280395507812,216.24627685546875,6054.2998046875
