Date,SPY,QQQ
2005-01-03,81.1745834350586,33.61601638793945
2005-01-04,80.1827163696289,33.003265380859375
2005-01-05,79.6293716430664,32.799015045166016
2005-01-06,80.03424072265625,32.637306213378906
2005-01-07,79.91951751708984,32.80752944946289
2005-01-10,80.29741668701172,32.79050064086914
2005-01-11,79.74409484863281,32.560699462890625
2005-01-12,80.00727081298828,32.833045959472656
2005-01-13,79.36624908447266,32.39902114868164
2005-01-14,79.78459167480469,32.70539855957031
2005-01-18,80.61453247070312,32.95218276977539
2005-01-19,79.7711181640625,32.40751266479492
2005-01-20,79.2852554321289,31.786273956298828
2005-01-21,78.79942321777344,31.530956268310547
2005-01-24,78.64423370361328,31.088424682617188
2005-01-25,78.86689758300781,31.241601943969727
2005-01-26,79.10308837890625,31.61606216430664
2005-01-27,79.2380142211914,31.57351303100586
2005-01-28,79.2380142211914,31.420326232910156
2005-01-31,79.7306137084961,31.828838348388672
2005-02-01,80.23670196533203,31.93094253540039
2005-02-02,80.4795913696289,31.98200798034668
2005-02-03,80.27041625976562,31.61606216430664
2005-02-04,81.12736511230469,32.126686096191406
2005-02-07,81.01940155029297,32.058616638183594
2005-02-08,81.1138687133789,32.11819839477539
2005-02-09,80.506591796875,31.58201789855957
2005-02-10,80.79672241210938,31.61606216430664
2005-02-11,81.49173736572266,32.084144592285156
2005-02-14,81.43102264404297,32.22880935668945
2005-02-15,81.73464965820312,32.44157028198242
2005-02-16,81.78868103027344,32.32241439819336
2005-02-17,81.12736511230469,31.888404846191406
2005-02-18,81.2353286743164,31.786273956298828
2005-02-22,80.02751159667969,31.394792556762695
2005-02-23,80.60104370117188,31.437341690063477
2005-02-24,81.13410186767578,31.837326049804688
2005-02-25,81.93708038330078,32.01604461669922
2005-02-28,81.39727783203125,31.675634384155273
2005-03-01,81.80213928222656,32.02458572387695
2005-03-02,81.76164245605469,32.007537841796875
2005-03-03,81.79541778564453,31.743715286254883
2005-03-04,82.81431579589844,31.93094253540039
2005-03-07,82.85476684570312,32.39051055908203
2005-03-08,82.54438018798828,32.067134857177734
2005-03-09,81.62672424316406,31.9735050201416
2005-03-10,81.80889129638672,31.93094253540039
2005-03-11,81.2353286743164,31.633081436157227
2005-03-14,81.74140930175781,31.77776336669922
2005-03-15,81.066650390625,31.522459030151367
2005-03-16,80.37836456298828,31.165023803710938
2005-03-17,80.54031372070312,31.241601943969727
2005-03-18,80.30118560791016,31.071395874023438
2005-03-21,80.00316619873047,31.130966186523438
2005-03-22,79.19022369384766,30.748018264770508
2005-03-23,79.25796508789062,30.858659744262695
2005-03-24,79.3528060913086,30.867151260375977
2005-03-28,79.46794128417969,30.926719665527344
2005-03-29,78.9395751953125,30.679916381835938
2005-03-30,80.0573501586914,31.25861930847168
2005-03-31,79.9083023071289,31.12247085571289
2005-04-01,79.54924774169922,30.807580947875977
2005-04-04,79.68474578857422,31.028850555419922
2005-04-05,80.0641098022461,31.113948822021484
2005-04-06,80.34185028076172,31.062904357910156
2005-04-07,80.77537536621094,31.437341690063477
2005-04-08,79.93540954589844,31.182016372680664
