file,pages,text_chars,keyword_hits
IBridgePy-and-Interactive-Brokers-v3.pdf,60,15083,IBridgePy; Interactive Brokers; moving average; backtest; live trade; transaction cost; VIX; schedule_function; early close; email; handle error; historical data
TBP-04-05Instructions-and-Key-Takeaways.pdf,2,2558,IBridgePy; Interactive Brokers; moving average; backtest; live trade
TBP04-and-05-Lecture-Summary.pdf,7,7115,IBridgePy; Interactive Brokers; moving average; backtest; live trade; transaction cost; schedule_function; early close; email; historical data
