file,pages,text_chars,keyword_hits
OTS06-Creating-an-Options-Backtester.pdf,54,8948,backtesting; options; long call; strangle; take profit; expiry; SPX; drawdown; profit factor
OTS06-Instructions-and-Key-Takeaways.docx-1.pdf,1,855,backtesting; options; strangle
OTS06Lecture-Summary.pdf,17,14686,backtesting; options; long call; strangle; stoploss; take profit; expiry; SPX; premium; transaction cost; drawdown; profit factor
OTS6-FAQs.pdf,3,5949,backtesting; options; premium; transaction cost; drawdown
