strategy,trades,total_pnl_post_costs,win_pct,avg_win,avg_loss,profit_factor,avg_holding_days,final_equity,max_drawdown
long_call,12,5463.140000000001,33.333333333333336,5821.375,2135.3125,1.3631201522025465,17.666666666666668,105463.14,-0.09825575150967786
long_strangle,12,-7704.884999999996,50.0,3671.25,4733.5,0.7755888877152213,17.666666666666668,92295.115,-0.21145530119631423
long_call_sltp,12,1498.6850000000013,41.666666666666664,1934.7,1067.857142857143,1.2941137123745818,1.8333333333333333,101498.685,-0.05579550508370799
